open,high,low,volume,amount,close
35.5,36.5,35.450001,62782884,35.700001,35.700001
34.849998,35.400002,34.450001,33867475,35.25,35.25
35.650002,36.299999,35.549999,33807116,35.849998,35.849998
35.450001,36.5,35.349998,38437795,35.799999,35.799999
36.099998,36.150002,35.099998,24622506,35.25,35.25
35.25,35.950001,35.25,33308634,35.700001,35.700001
35.75,37.5,35.650002,92981035,37.200001,37.200001
36.900002,37.950001,36.799999,48254482,37.599998,37.599998
37.950001,38.5,37.75,51627315,38.349998,38.349998
38.5,39.599998,38.5,65772741,39,39
39.400002,40.299999,39.049999,61436082,40.099998,40.099998
40.25,40.799999,39.450001,67593580,39.549999,39.549999
38.799999,40.400002,38.700001,65760110,40.099998,40.099998
40.349998,40.700001,39.849998,50606061,40.450001,40.450001
40.400002,40.599998,38.900002,59732960,39.650002,39.650002
39.849998,41.349998,39.650002,83681824,40.400002,40.400002
40.799999,41.650002,40.150002,85095486,40.650002,40.650002
40.700001,41.099998,39.700001,46208645,40.150002,40.150002
40,41.200001,39.849998,76924094,40.5,40.5
40.450001,40.599998,38,69527571,38.150002,38.150002
37.849998,37.849998,35.799999,65861997,36,36
36.299999,37.049999,36.099998,41297271,36.700001,36.700001
36.299999,36.299999,34.549999,85338288,34.849998,34.849998
35.25,35.75,34.25,116839087,34.900002,34.900002
35.599998,36.799999,35,90405745,36.549999,36.549999
36.599998,36.75,35.349998,47921973,35.450001,35.450001
36.349998,36.650002,36.150002,38320151,36.450001,36.450001
36.849998,37,36.450001,27448412,36.650002,36.650002
36.5,36.900002,36.099998,28687877,36.650002,36.650002
36.150002,37,36.099998,32747438,36.549999,36.549999
36.75,36.799999,35.599998,35436582,35.700001,35.700001
35.849998,36.450001,35.599998,36192793,36.299999,36.299999
36.400002,36.450001,35.450001,30733961,35.900002,35.900002
36.650002,36.799999,35.75,26022043,35.849998,35.849998
35.849998,37.25,35.5,42448068,36.900002,36.900002
37.200001,39.099998,37.049999,93855098,38.849998,38.849998
39,40.099998,38.650002,104078804,39.349998,39.349998
39.099998,40.75,38.599998,121051376,40.5,40.5
40.5,41.799999,40.400002,113842537,40.75,40.75
41.349998,41.599998,40.900002,17217018,41.099998,41.099998
41.200001,44,40.5,169573666,43.299999,43.299999
43.5,43.599998,42.549999,96348564,43,43
43.299999,44.799999,42.700001,118353597,43.099998,43.099998
43.599998,43.75,41.75,82205500,42.650002,42.650002
43.200001,43.599998,39.900002,146126391,40.099998,40.099998
39.950001,40,39,64972626,39.25,39.25
39,41.599998,38.900002,104226875,41.299999,41.299999
41.75,42.150002,41.349998,61162545,41.799999,41.799999
42.900002,43.549999,41.650002,109584009,41.849998,41.849998
42.599998,46,42.099998,299263769,44.950001,44.950001
45,45.150002,43.549999,97489239,44.049999,44.049999
45.049999,45.200001,44.099998,76514774,44.75,44.75
44.900002,44.950001,43.700001,39354002,43.950001,43.950001
